Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,632.000000,664.500000,613.000000,644.000000,642.249084,38805403
2021-03-10,670.000000,670.000000,652.000000,658.500000,656.709656,23255672
2021-03-11,658.500000,683.500000,657.500000,680.500000,678.649841,20972740
2021-03-12,694.000000,694.500000,647.500000,650.500000,648.731445,25985928
2021-03-15,650.000000,653.000000,621.000000,628.000000,626.292603,35012854
2021-03-16,639.000000,643.500000,625.000000,630.500000,628.785767,19543472
2021-03-17,624.500000,639.000000,622.000000,624.500000,622.802124,19099051
2021-03-18,635.000000,651.500000,632.000000,640.500000,638.758606,22362704
2021-03-19,628.000000,638.500000,624.000000,628.000000,626.292603,22540279
2021-03-22,630.500000,643.500000,629.500000,633.500000,631.777649,14012535
2021-03-23,644.500000,644.500000,626.500000,628.500000,626.791260,14607658
2021-03-24,631.000000,637.500000,616.000000,623.500000,621.804810,18048966
2021-03-25,600.000000,622.000000,588.500000,606.000000,604.352417,44289707
2021-03-26,606.000000,632.000000,605.500000,620.000000,618.314331,24489458
2021-03-29,620.000000,622.000000,600.500000,612.000000,610.336121,29008349
2021-03-30,613.500000,621.000000,606.500000,609.500000,607.842896,20556407
2021-03-31,618.000000,621.500000,609.000000,610.000000,608.341553,15940007
2021-04-01,627.500000,656.000000,621.500000,654.000000,652.221924,32903056
2021-04-07,653.000000,658.000000,623.500000,629.500000,627.788513,27178435
2021-04-08,614.000000,629.000000,614.000000,620.000000,618.314331,247386283
2021-04-09,629.000000,629.000000,615.500000,620.500000,618.812988,22463721
2021-04-12,616.000000,619.500000,603.000000,613.500000,611.832031,27979807
2021-04-13,613.500000,622.000000,607.000000,608.000000,606.346985,18440227
2021-04-14,621.000000,625.000000,615.500000,623.500000,621.804810,17999746
2021-04-15,623.500000,623.500000,610.500000,620.000000,618.314331,14548616
2021-04-16,620.000000,632.500000,616.000000,632.000000,630.281738,20757051
2021-04-19,630.000000,644.000000,620.000000,627.000000,625.295288,20241398
2021-04-20,620.000000,626.000000,618.000000,622.500000,620.807556,15227980
2021-04-21,614.500000,616.000000,608.000000,609.000000,607.344238,20660889
2021-04-22,621.500000,624.500000,616.000000,621.000000,619.311646,15377713
2021-04-23,627.500000,632.000000,621.000000,632.000000,630.281738,16297503
2021-04-26,632.000000,640.000000,625.500000,628.500000,626.791260,14200054
2021-04-27,623.500000,625.000000,616.500000,625.000000,623.300720,13828525
2021-04-28,621.000000,628.000000,617.500000,628.000000,626.292603,11196968
2021-04-29,639.500000,639.500000,628.500000,631.500000,629.783081,12466380
2021-04-30,627.500000,627.500000,620.000000,623.000000,621.306213,11994726
2021-05-03,619.500000,624.500000,616.500000,624.500000,622.802124,7944284
2021-05-04,624.500000,625.000000,619.000000,622.000000,620.308899,6326570
2021-05-05,615.500000,617.000000,610.500000,610.500000,608.840149,11626909
2021-05-06,614.500000,619.000000,602.500000,610.500000,608.840149,21407572
2021-05-07,613.000000,613.000000,600.000000,600.000000,598.368713,17462909
2021-05-10,599.000000,608.000000,590.000000,595.000000,593.382324,20540009
2021-05-11,582.000000,586.000000,566.500000,584.500000,582.910828,34617590
2021-05-12,584.500000,603.000000,584.500000,598.500000,596.872803,22903915
2021-05-13,593.000000,595.000000,580.000000,580.000000,578.423096,17979776
2021-05-14,577.000000,588.000000,574.000000,583.000000,581.414917,16014087
2021-05-17,593.000000,604.500000,589.000000,600.500000,598.867371,19167047
2021-05-18,607.000000,609.500000,599.500000,607.500000,605.848328,12188444
2021-05-20,611.000000,615.500000,603.500000,609.000000,607.344238,15631656
2021-05-21,600.000000,600.000000,583.500000,588.500000,586.899963,40340844
2021-05-24,586.500000,588.000000,576.500000,585.500000,585.500000,16608372
2021-05-25,589.500000,613.000000,588.500000,610.000000,610.000000,27044587
2021-05-26,624.500000,624.500000,612.000000,618.000000,618.000000,18726374
2021-05-27,610.000000,613.000000,602.000000,605.500000,605.500000,25744926
2021-05-28,608.000000,612.000000,601.000000,601.500000,601.500000,15183086
2021-05-31,612.000000,619.500000,603.500000,619.000000,619.000000,15518200
2021-06-01,619.000000,632.000000,617.000000,628.000000,628.000000,18041560
2021-06-02,634.000000,640.000000,625.500000,628.500000,628.500000,16332063
2021-06-03,628.500000,629.500000,612.000000,615.500000,615.500000,12310451
2021-06-04,610.000000,614.500000,606.000000,611.500000,611.500000,18940490
2021-06-07,611.000000,611.500000,598.500000,600.500000,600.500000,19767396
2021-06-08,606.000000,606.000000,597.000000,601.000000,601.000000,10324239
2021-06-09,600.000000,606.000000,597.500000,603.000000,603.000000,7766899
2021-06-10,605.000000,608.500000,598.000000,600.500000,600.500000,11727606
2021-06-11,608.500000,608.500000,596.000000,596.000000,596.000000,14496695
2021-06-15,605.000000,605.000000,592.000000,600.000000,600.000000,11531430
2021-06-16,597.000000,598.500000,594.500000,596.500000,596.500000,9771103
